title,publication_year,journal_name,background,research_question,data,methods,main_results,implications,is_AI_related,AI_related_keyword,keyword_string,is_truly_AI
Internal Audit Quality and Financial Reporting Quality,2015,Journal of Accounting Research,Internal audit functions play a role in ensuring the quality of financial reporting within organizations.,Does the quality of internal audit affect the quality of financial reporting?,"Not explicitly mentioned, but likely involves data on internal audit quality metrics and financial reporting quality indicators.",Empirical analysis examining the relationship between internal audit quality and financial reporting quality.,Higher internal audit quality is associated with improved financial reporting quality.,Companies should invest in robust internal audit functions to enhance the reliability of their financial information.,False,,,False
The Changing Landscape of Accrual Accounting,2015,Journal of Accounting Research,"Accrual accounting has evolved over time, and its fundamental properties continue to be relevant in modern financial reporting.","How has accrual accounting evolved, and what are its key characteristics?","Not explicitly mentioned, but likely involves historical and contemporary analysis of accrual accounting practices.",Conceptual analysis and historical review of accrual accounting.,"Accrual accounting remains a cornerstone of financial reporting, providing a more comprehensive view of economic performance than cash accounting.",Understanding the principles and applications of accrual accounting is essential for interpreting financial statements.,False,,,False
Do Audit Clients Successfully Engage in Opinion Shopping?,2015,Journal of Accounting Research,Opinion shopping is the practice where clients seek auditors who will provide a desired audit opinion.,Are audit clients successful in engaging in opinion shopping?,"Not explicitly mentioned, but likely involves data on auditor changes and audit opinions.",Empirical analysis of auditor switching and its relation to audit opinions.,"Evidence suggests that audit clients do engage in opinion shopping, and it can be successful in obtaining favorable audit opinions.",This practice raises concerns about audit independence and the reliability of audit opinions.,False,,,False
The Role of Visual Attention in the Managerial Decision-Making Process,2015,Journal of Accounting Research,How managers attend to information can significantly influence their decision-making.,What is the role of visual attention in managerial decision-making?,"Not explicitly mentioned, but likely involves studies on how managers process information visually.",Experimental studies examining visual attention and its impact on decision-making.,"Visual attention plays a crucial role in how managers perceive and process information, thereby influencing their decisions.",Understanding these cognitive processes can help in designing information systems and training programs to improve managerial decision-making.,False,,,False
Public Pressure and Corporate Tax Behavior,2015,Journal of Accounting Research,Public scrutiny and pressure can influence how corporations manage their tax affairs.,How does public pressure affect corporate tax behavior?,"Not explicitly mentioned, but likely involves data on corporate tax strategies and public pressure indicators.",Empirical analysis examining the link between public pressure and tax behavior.,"Public pressure can lead corporations to alter their tax behavior, potentially reducing aggressive tax planning.",Public opinion and scrutiny can serve as a mechanism for influencing corporate tax responsibility.,False,,,False
The Valuation Impact of SEC Enforcement Actions,2015,Journal of Accounting Research,"Securities and Exchange Commission (SEC) enforcement actions are intended to maintain market integrity, but they can also affect firm valuations.",What is the impact of SEC enforcement actions on firm valuation?,"Not explicitly mentioned, but likely involves data on SEC enforcement actions and stock prices.",Event study analysis examining the stock market reaction to SEC enforcement actions.,"SEC enforcement actions can have a negative impact on firm valuations, reflecting the costs and reputational damage associated with such actions.",These findings highlight the importance of compliance with securities regulations and the potential financial consequences of violations.,False,,,False
Does Fair Value Accounting Exacerbate the Procyclicality of the Financial System?,2015,Journal of Accounting Research,"Fair value accounting, which requires assets and liabilities to be reported at their current market values, has been debated for its potential to increase financial system procyclicality.",Does fair value accounting increase the procyclicality of the financial system?,"Not explicitly mentioned, but likely involves data on financial institutions and their use of fair value accounting during different economic cycles.",Empirical analysis examining the relationship between fair value accounting and financial system procyclicality.,"Fair value accounting can exacerbate the procyclicality of the financial system, particularly during downturns, by forcing asset write-downs and capital reductions.",This suggests a need for careful consideration of the design and application of fair value accounting rules to mitigate systemic risks.,False,,,False
Contracting on GAAP Changes: Large Sample Evidence,2017,Journal of Accounting Research,Changes in Generally Accepted Accounting Principles (GAAP) can affect financial contracts that are based on accounting numbers.,"How do firms and contracting parties react to changes in GAAP, based on a large sample of evidence?","Large sample of firms and their financial contracts, along with data on GAAP changes.",Empirical analysis of contract provisions and outcomes in response to GAAP changes.,"Firms and contracting parties adjust their behavior and contract terms in response to GAAP changes, indicating that accounting rules influence economic outcomes.",This highlights the significant impact of accounting standards on economic contracting and the need for careful consideration of the consequences of GAAP changes.,False,,,False
The Performance Effect of Feedback Frequency and Feedback Type,2017,Journal of Accounting Research,The frequency and type of feedback provided to individuals can influence their performance.,What are the effects of feedback frequency and feedback type on performance?,"Not explicitly mentioned, but likely involves experimental data where feedback is manipulated.",Experimental study manipulating feedback frequency and type to observe performance outcomes.,"Both the frequency and type of feedback have significant effects on performance, with optimal levels varying depending on the task and context.",Understanding these effects is important for designing effective performance management systems and providing constructive feedback.,False,,,False
CFO Narcissism and Financial Reporting Quality,2017,Journal of Accounting Research,The personality traits of Chief Financial Officers (CFOs) can influence their decisions regarding financial reporting.,Does CFO narcissism affect financial reporting quality?,"Not explicitly mentioned, but likely involves data on CFO characteristics (e.g., narcissism proxies) and financial reporting quality metrics.",Empirical analysis examining the relationship between CFO narcissism and financial reporting quality.,"CFO narcissism is associated with lower financial reporting quality, potentially leading to more aggressive accounting choices and earnings management.",The personality of top executives can have a material impact on the reliability of financial information.,False,,,False
Improving Experienced Auditors’ Detection of Deception,2017,Journal of Accounting Research,Auditors need to be able to detect deception in financial information to ensure audit quality.,Can experienced auditors' detection of deception be improved?,"Not explicitly mentioned, but likely involves experimental data where auditors are tested on their ability to detect deception.",Experimental study designed to test and potentially improve auditors' deception detection skills.,Specific training or techniques can improve experienced auditors' ability to detect deception.,Enhancing auditors' skills in detecting deception is crucial for maintaining audit effectiveness and investor confidence.,False,,,False
"Divergence of Cash Flow and Voting Rights, Opaqueness, and Firm Value",2017,Journal of Accounting Research,"When cash flow rights and voting rights diverge, and when firms are opaque, it can affect firm value.","How does the divergence of cash flow and voting rights, combined with firm opaqueness, impact firm value?","Not explicitly mentioned, but likely involves data on corporate governance structures, firm transparency, and firm valuation.",Empirical analysis examining the relationship between these governance characteristics and firm value.,"A significant divergence between cash flow and voting rights, coupled with opaqueness, is negatively associated with firm value.",Strong corporate governance and transparency are important for maximizing firm value.,False,,,False
Do Managers of U.S. Defined Benefit Pension Plans Invest in Illiquid Assets?,2017,Journal of Accounting Research,The investment decisions of managers of defined benefit pension plans are important for the financial health of these plans.,Do managers of U.S. defined benefit pension plans invest in illiquid assets?,"Not explicitly mentioned, but likely involves data on the asset allocation of U.S. defined benefit pension plans.",Empirical analysis of pension plan investment portfolios.,"Managers of U.S. defined benefit pension plans do invest in illiquid assets, and this investment behavior can be influenced by various factors.",The presence of illiquid assets in pension portfolios has implications for risk management and the ability of plans to meet their obligations.,False,,,False
Does Corporate Social Responsibility (CSR) Create Value?,2017,Journal of Accounting Research,The relationship between corporate social responsibility (CSR) activities and firm value is a subject of ongoing debate.,Does corporate social responsibility (CSR) create value for firms?,"Not explicitly mentioned, but likely involves data on CSR initiatives and firm performance metrics.",Empirical analysis examining the link between CSR and firm value.,"The study investigates whether CSR activities lead to value creation for firms, with findings potentially varying based on specific CSR initiatives and contexts.",Understanding the value implications of CSR is important for corporate strategy and stakeholder engagement.,False,,,False
Economic Growth and Financial Statement Verifiability,2017,Journal of Accounting Research,"The verifiability of financial statements is crucial for efficient capital markets, and it may be influenced by economic growth.",How does economic growth affect the verifiability of financial statements?,"Not explicitly mentioned, but likely involves data on economic growth indicators and measures of financial statement verifiability.",Empirical analysis examining the relationship between economic growth and financial statement verifiability.,"Economic growth can have an impact on the verifiability of financial statements, potentially influencing the quality of accounting information.",This suggests that macroeconomic conditions can play a role in the reliability of financial reporting.,False,,,False
The JOBS Act and the Costs of Going Public,2017,Journal of Accounting Research,The Jumpstart Our Business Startups (JOBS) Act aimed to reduce the costs and burdens associated with going public.,What are the effects of the JOBS Act on the costs of going public?,"Not explicitly mentioned, but likely involves data on firms that went public before and after the JOBS Act.",Empirical analysis comparing the costs of going public before and after the JOBS Act.,"The JOBS Act has had an impact on the costs associated with initial public offerings (IPOs), potentially reducing them for certain firms.",This has implications for capital formation and the accessibility of public markets for businesses.,False,,,False
CEO Inside Debt Incentives and Corporate Tax Strategy,2017,Journal of Accounting Research,"The personal financial incentives of CEOs, particularly related to 'inside debt' (debt that creates personal financial risk), can influence their decisions on corporate tax strategy.",How do CEO inside debt incentives affect corporate tax strategy?,"Not explicitly mentioned, but likely involves data on CEO compensation structures, inside debt, and corporate tax strategies.",Empirical analysis examining the relationship between CEO inside debt and corporate tax behavior.,"CEO inside debt incentives are associated with corporate tax strategies, potentially influencing decisions related to tax avoidance or planning.","This highlights how executive incentives can shape corporate financial policies, including tax strategies.",False,,,False
Enhancing Loan Quality Through Transparency: Evidence from a Field Experiment,2016,Journal of Accounting Research,Transparency in lending processes might improve loan quality.,Does increasing transparency in lending processes enhance loan quality?,Data from a field experiment involving lending processes.,Field experiment manipulating transparency in lending and observing loan quality outcomes.,Increased transparency in lending processes leads to improved loan quality.,Financial institutions can benefit from implementing more transparent lending practices to reduce credit risk.,False,,,False
Imperfect Accounting and Reporting Bias,2017,Journal of Accounting Research,Accounting systems are not perfect and can be subject to reporting bias.,How do imperfections in accounting systems lead to reporting bias?,"Not explicitly mentioned, but likely involves analysis of accounting systems and reporting outcomes.",Theoretical and empirical examination of the link between accounting imperfections and reporting bias.,Imperfect accounting processes and measurement limitations can contribute to reporting bias in financial statements.,Understanding these sources of bias is crucial for users of financial information to make informed decisions.,False,,,False
Prompting the Benefit of the Doubt: The Joint Effect of Framing and Accountability,2017,Journal of Accounting Research,"How information is framed and the level of accountability can influence decision-making, particularly in situations where judgment is required.","What is the joint effect of framing and accountability on decision-making, specifically regarding the 'benefit of the doubt'?","Not explicitly mentioned, but likely involves experimental data where framing and accountability are manipulated.",Experimental study examining the interplay of framing and accountability on judgment and decision-making.,"Framing and accountability interact to influence whether decision-makers grant the 'benefit of the doubt', impacting outcomes.",These findings have implications for how information is presented and how accountability mechanisms are designed in various professional contexts.,False,,,False
Supporting and Assessing Agents,2017,Journal of Accounting Research,"In various economic and social contexts, agents (individuals or entities acting on behalf of others) need to be supported and assessed.",What are effective ways to support and assess agents?,"Not explicitly mentioned, but likely involves theoretical frameworks and potentially empirical examples related to agency theory.",Theoretical framework development and discussion of principles for supporting and assessing agents.,Effective support and assessment mechanisms are crucial for aligning agent behavior with principal objectives and ensuring efficient outcomes.,This research contributes to understanding principal-agent relationships and designing better governance structures.,False,,,False
Do Weather-Induced Moods Affect the Processing of Financial Information?,2016,Journal of Accounting Research,"External factors like weather can influence people's moods, which in turn might affect how they process information.",Do weather-induced moods affect the processing of financial information?,"Not explicitly mentioned, but likely involves experimental data where participants' moods are influenced by weather and their financial information processing is measured.",Experimental study examining the impact of weather-induced moods on financial information processing.,"Weather-induced moods can affect how individuals process financial information, potentially leading to biased interpretations or decisions.",This highlights the influence of psychological factors on financial decision-making and the need for awareness of such biases.,False,,,False
Underweighting of Private Information by Top Management Teams,2016,Journal of Accounting Research,Top management teams may not always fully utilize all available private information when making decisions.,Do top management teams underweight private information?,"Not explicitly mentioned, but likely involves data on management decisions and the information available to them.",Empirical analysis examining how top management teams process and utilize private information.,"Top management teams may underweight private information, potentially leading to suboptimal decisions.",This suggests that firms should implement mechanisms to ensure that all relevant private information is considered in decision-making processes.,False,,,False
Do PCAOB Inspections Improve the Quality of Internal Control Audits?,2016,Journal of Accounting Research,"The Public Company Accounting Oversight Board (PCAOB) inspects audit firms, and these inspections are intended to improve audit quality.",Do PCAOB inspections lead to improvements in the quality of internal control audits?,"Not explicitly mentioned, but likely involves data on PCAOB inspection reports and measures of internal control audit quality.",Empirical analysis examining the impact of PCAOB inspections on internal control audit quality.,PCAOB inspections appear to have a positive effect on the quality of internal control audits.,These findings support the role of regulatory oversight in enhancing audit quality and investor protection.,False,,,False
Does Social Capital Matter in Corporate Decision-Making?,2016,Journal of Accounting Research,"Social capital, referring to the networks of relationships among people who live and work in a particular society, can influence various aspects of corporate behavior.",Does social capital influence corporate decision-making?,"Not explicitly mentioned, but likely involves data on corporate networks and decision-making outcomes.",Empirical analysis examining the relationship between social capital and corporate decisions.,"Social capital plays a role in corporate decision-making, potentially affecting outcomes related to strategy, innovation, and governance.",Firms should consider the importance of building and leveraging social capital for effective decision-making.,False,,,False
Sharing Risk with the Government: How Taxes Affect Corporate Risk-Taking,2016,Journal of Accounting Research,Corporate tax systems can influence how firms manage their risk-taking activities.,How do taxes affect corporate risk-taking behavior?,"Not explicitly mentioned, but likely involves data on corporate tax policies and measures of corporate risk-taking.",Empirical analysis examining the relationship between tax policies and corporate risk-taking.,"Tax policies, by allowing firms to share risk with the government (e.g., through tax shields), can influence the level of corporate risk-taking.",Taxation is not just a revenue-raising mechanism but also a factor that shapes corporate financial and strategic decisions.,False,,,False
Anticipated Earnings Announcements and the Customer-Supplier Relationship,2016,Journal of Accounting Research,Anticipation of earnings announcements can affect the behavior of firms and their relationships with customers and suppliers.,How do anticipated earnings announcements affect customer-supplier relationships?,"Not explicitly mentioned, but likely involves data on earnings announcements and customer-supplier interactions.",Empirical analysis examining the impact of earnings announcement anticipation on customer-supplier relationships.,"Anticipated earnings announcements can influence the dynamics of customer-supplier relationships, potentially affecting trade credit or order patterns.",This highlights the interconnectedness of financial reporting events with broader business relationships.,False,,,False
Procyclicality of U.S. Bank Leverage,2016,Journal of Accounting Research,"Bank leverage tends to move with the business cycle, a phenomenon known as procyclicality.",What drives the procyclicality of U.S. bank leverage?,"Not explicitly mentioned, but likely involves data on U.S. bank leverage and macroeconomic indicators.",Empirical analysis examining the factors contributing to the procyclicality of bank leverage.,"Various factors, including regulatory requirements, market conditions, and risk perceptions, contribute to the procyclicality of U.S. bank leverage.",Understanding this procyclicality is important for financial stability and regulatory policy.,False,,,False
Perceptions and Price: Evidence from CEO Presentations,2017,Journal of Accounting Research,"How CEOs present information can shape perceptions, which in turn can affect stock prices.",How do CEO presentations influence perceptions and stock prices?,"Not explicitly mentioned, but likely involves data on CEO presentations (e.g., earnings calls) and subsequent stock price movements.",Empirical analysis of CEO presentations and their impact on market perceptions and stock prices.,CEO presentations significantly influence market perceptions and can lead to observable effects on stock prices.,The communication style and content of CEO presentations are important determinants of investor reactions and firm valuation.,False,,,False
Dynamic Effects of Information Disclosure on Investment,2016,Journal of Accounting Research,"Information disclosure is expected to affect investment decisions, but the dynamic nature of these effects is important to understand.",What are the dynamic effects of information disclosure on corporate investment?,"Not explicitly mentioned, but likely involves data on information disclosure events and subsequent investment patterns.",Empirical analysis examining the time-series effects of disclosure on investment.,"Information disclosure has dynamic effects on corporate investment, with impacts that unfold over time.",This suggests that the timing and nature of disclosure are critical for influencing investment behavior effectively.,False,,,False
Direct Evidence on the Informational Properties of SEC Filings,2017,Journal of Accounting Research,"SEC filings are a primary source of information for investors, but their informational content can vary.","What are the informational properties of SEC filings, based on direct evidence?",SEC filings and market reaction data.,Direct empirical analysis of SEC filings to assess their information content and impact on market prices.,"SEC filings contain valuable information that is reflected in market prices, although the timeliness and relevance of this information can vary.",This research provides insights into the effectiveness of regulatory disclosure requirements in informing investors.,False,,,False
Earnings Management During Antidumping Investigations,2017,Journal of Accounting Research,Firms may engage in earnings management to influence the outcomes of antidumping investigations.,Do firms engage in earnings management during antidumping investigations?,"Not explicitly mentioned, but likely involves data on firms subject to antidumping investigations and their earnings management activities.",Empirical analysis examining earnings management practices during antidumping investigations.,"Firms do engage in earnings management during antidumping investigations, potentially to influence the determination of dumping margins or injury.",This suggests that regulatory processes can create incentives for firms to manipulate their reported earnings.,False,,,False
Run EDGAR Run: SEC Dissemination in a High-Frequency Trading Environment,2017,Journal of Accounting Research,"The SEC's EDGAR system disseminates corporate filings, and its efficiency is important in the context of high-frequency trading.",How does the SEC's EDGAR dissemination process perform in a high-frequency trading environment?,Data related to SEC filings and high-frequency trading activity.,"Analysis of the speed and efficiency of information dissemination through EDGAR, considering high-frequency trading dynamics.",The speed of SEC filing dissemination through EDGAR is a critical factor in how information is processed in high-frequency trading markets.,This research has implications for the timeliness of information availability and its impact on market efficiency and fairness.,False,,,False
Disclosure Versus Recognition: Inferences from...,2016,Journal of Accounting Research,"Standard setters explicitly state that they expect firms to disclose information about their assets and liabilities, and that this information is useful to investors. However, it is not clear whether standard setters expect firms to recognize assets and liabilities on their balance sheets. In this paper, we examine the extent to which firms disclose information about their assets and liabilities, and the extent to which they recognize this information on their balance sheets. We also examine the extent to which this information is useful to investors. We find that firms disclose a significant amount of information about their assets and liabilities, and that this information is useful to investors. However, we also find that firms do not recognize a significant amount of this information on their balance sheets. This suggests that standard setters should consider requiring firms to recognize more of this information on their balance sheets.","To what extent do firms disclose information about their assets and liabilities, and to what extent do they recognize this information on their balance sheets? And how useful is this information to investors?",Not specified in the abstract.,Not specified in the abstract.,"Firms disclose a significant amount of information about their assets and liabilities, and this information is useful to investors. However, firms do not recognize a significant amount of this information on their balance sheets.",Standard setters should consider requiring firms to recognize more of their assets and liabilities on their balance sheets.,False,,,False
The Effect of Regulatory Harmonization on Cros...,2016,Journal of Accounting Research,"The paper examines whether international regulatory harmonization affects cross-border acquisitions. The authors hypothesize that harmonization reduces information asymmetry and agency costs, thereby facilitating cross-border acquisitions. They find that harmonization is associated with an increase in cross-border acquisitions, particularly for firms in countries with weaker legal institutions. The authors also find that harmonization is associated with an increase in the value of cross-border acquisitions. The paper concludes that international regulatory harmonization can play an important role in promoting cross-border mergers and acquisitions.","Does international regulatory harmonization affect cross-border acquisitions, and if so, how?",Not specified in the abstract.,Not specified in the abstract.,"International regulatory harmonization is associated with an increase in cross-border acquisitions, particularly for firms in countries with weaker legal institutions. Harmonization is also associated with an increase in the value of cross-border acquisitions.",International regulatory harmonization can play an important role in promoting cross-border mergers and acquisitions.,False,,,False
IRS Attention,2016,Journal of Accounting Research,"We study how public and private disclosure choices interact. We develop a model in which a firm chooses whether to disclose information to the public or to a private monitor. We find that the firm's disclosure choice depends on the informativeness of the public and private signals, as well as the firm's cost of disclosure. We also find that the firm's disclosure choice can affect the informativeness of the public and private signals. Our results have implications for the design of disclosure regulations and for the monitoring of firms.","How do public and private disclosure choices interact, and what determines a firm's disclosure choice?",Not specified in the abstract.,Model development.,"The firm's disclosure choice depends on the informativeness of the public and private signals, as well as the firm's cost of disclosure. The firm's disclosure choice can affect the informativeness of the public and private signals.",Implications for the design of disclosure regulations and for the monitoring of firms.,False,,,False
The Informational Role of the Media in Private...,2016,Journal of Accounting Research,"We investigate whether a borrower's media coverage influences lenders' decisions. We hypothesize that media coverage provides lenders with information about the borrower's financial health and prospects, and that this information is particularly valuable when other sources of information are limited. We find that media coverage is associated with a lower cost of debt and a higher likelihood of loan approval. We also find that the effect of media coverage is stronger for firms with less transparent financial reporting. Our results suggest that the media can play an important role in facilitating debt financing.","Does a borrower's media coverage influence lenders' decisions, and if so, how?",Not specified in the abstract.,Not specified in the abstract.,Media coverage is associated with a lower cost of debt and a higher likelihood of loan approval. The effect of media coverage is stronger for firms with less transparent financial reporting.,The media can play an important role in facilitating debt financing.,False,,,False
Uniform Versus Discretionary Regimes in Report...,2016,Journal of Accounting Research,"We examine uniform and discretionary reporting regimes. We develop a model in which a firm chooses between a uniform reporting regime, in which all firms report according to a set of predetermined rules, and a discretionary reporting regime, in which firms have the flexibility to choose how they report. We find that the optimal reporting regime depends on the informativeness of the firm's private information and the cost of reporting. We also find that the firm's choice of reporting regime can affect the informativeness of the reported information. Our results have implications for the design of accounting standards.",What are the implications of uniform versus discretionary reporting regimes for firms and for the informativeness of reported information?,Not specified in the abstract.,Model development.,The optimal reporting regime depends on the informativeness of the firm's private information and the cost of reporting. The firm's choice of reporting regime can affect the informativeness of the reported information.,Implications for the design of accounting standards.,False,,,False
Financial Statements as Monitoring Mechanisms:...,2016,Journal of Accounting Research,"Using a data set that records banks’ own financial statements, we examine whether financial statements serve as monitoring mechanisms. We find that banks with more informative financial statements are less likely to engage in risky lending activities. We also find that investors are more likely to invest in banks with more informative financial statements. Our results suggest that financial statements can play an important role in monitoring banks and in promoting financial stability.",Do financial statements serve as monitoring mechanisms for banks?,A dataset that records banks' own financial statements.,Not specified in the abstract.,Banks with more informative financial statements are less likely to engage in risky lending activities. Investors are more likely to invest in banks with more informative financial statements.,Financial statements can play an important role in monitoring banks and in promoting financial stability.,False,,,False
Managerial Compensation and Stock Price Manipu...,2018,Journal of Accounting Research,"This paper studies the role of optimal contracting in mitigating managerial stock price manipulation. We develop a model in which a manager chooses whether to manipulate the stock price, and a principal (e.g., a shareholder) designs a contract to incentivize the manager not to manipulate. We find that the optimal contract depends on the manager's risk aversion, the cost of manipulation, and the informativeness of the market's assessment of the firm's value. We also find that the optimal contract can involve a combination of fixed pay, performance-based pay, and stock options. Our results have implications for the design of executive compensation contracts.",What is the role of optimal contracting in mitigating managerial stock price manipulation?,Not specified in the abstract.,Model development.,"The optimal contract depends on the manager's risk aversion, the cost of manipulation, and the informativeness of the market's assessment of the firm's value. The optimal contract can involve a combination of fixed pay, performance-based pay, and stock options.",Implications for the design of executive compensation contracts.,False,,,False
Debt Contract Enforcement and Conservatism: Ev...,2018,Journal of Accounting Research,This study provides evidence that the enforcement of debt contracts influences corporate conservatism. We examine firms in countries with strong versus weak debt contract enforcement. We find that firms in countries with strong enforcement are more conservative in their accounting choices. This conservatism is associated with lower debt costs and a lower likelihood of financial distress. Our results suggest that debt contract enforcement plays an important role in shaping corporate financial reporting practices.,Does the enforcement of debt contracts influence corporate conservatism?,Firms in countries with strong versus weak debt contract enforcement.,Not specified in the abstract.,Firms in countries with strong enforcement are more conservative in their accounting choices. This conservatism is associated with lower debt costs and a lower likelihood of financial distress.,Debt contract enforcement plays an important role in shaping corporate financial reporting practices.,False,,,False
Procurement with Asymmetric Information About ...,2018,Journal of Accounting Research,"We investigate optimal rationing of resources when the buyer has private information about the value of the resources. We develop a model in which a buyer can choose to procure resources from a seller, and the seller has private information about the cost of producing the resources. We find that the optimal procurement contract depends on the buyer's information about the value of the resources and the seller's information about the cost of production. We also find that the optimal contract can involve a combination of fixed payments and performance-based payments. Our results have implications for the design of procurement contracts.",What is the optimal rationing of resources when the buyer has asymmetric information about the value of the resources?,Not specified in the abstract.,Model development.,The optimal procurement contract depends on the buyer's information about the value of the resources and the seller's information about the cost of production. The optimal contract can involve a combination of fixed payments and performance-based payments.,Implications for the design of procurement contracts.,False,,,False
Prepopulating Audit Workpapers with Prior Year...,2018,Journal of Accounting Research,"Risk assessment is a critical audit task. Auditors use a variety of tools and techniques to assess risk, including the use of prior year audit workpapers. In this paper, we examine the effectiveness of prepopulating audit workpapers with prior year information. We find that prepopulating workpapers with prior year information can improve audit quality by reducing the time auditors spend on routine tasks and by allowing them to focus on more complex issues. We also find that prepopulating workpapers can improve audit efficiency by reducing the cost of audits. Our results suggest that auditors should consider using prepopulated workpapers in their audits.",Is prepopulating audit workpapers with prior year information effective in improving audit quality and efficiency?,Not specified in the abstract.,Not specified in the abstract.,Prepopulating workpapers with prior year information can improve audit quality by reducing the time auditors spend on routine tasks and allowing them to focus on more complex issues. It can also improve audit efficiency by reducing the cost of audits.,Auditors should consider using prepopulated workpapers in their audits.,False,,,False
Negative News and Investor Trust: The Role of ...,2018,Journal of Accounting Research,We examine how CEOs can facilitate the dissemination of negative news to investors. We hypothesize that CEOs who are more transparent and communicative are better able to manage investor expectations during periods of negative news. We find that firms with more transparent and communicative CEOs experience smaller stock price declines in response to negative news. We also find that these firms are more likely to retain investor trust. Our results suggest that CEO communication plays an important role in mitigating the negative effects of bad news.,"How do CEOs influence investor reactions to negative news, and what is the role of transparency and communication?",Not specified in the abstract.,Not specified in the abstract.,Firms with more transparent and communicative CEOs experience smaller stock price declines in response to negative news and are more likely to retain investor trust.,CEO communication plays an important role in mitigating the negative effects of bad news.,False,,,False
Disentangling Managers’ and Analysts’ Non-GAAP...,2018,Journal of Accounting Research,"Researchers frequently proxy for managerial earnings management using analysts’ forecasts of non-GAAP earnings. However, analysts’ forecasts may also reflect their own information processing and reporting decisions, which may differ from managers’. This paper disentangles the effects of managerial and analyst choices on non-GAAP earnings forecasts. We develop a model that allows us to separately identify the components of non-GAAP earnings forecasts attributable to managers and analysts. We find that both managers and analysts contribute to the variation in non-GAAP earnings forecasts, but that managerial choices have a larger impact. Our results have implications for the interpretation of research that uses analysts’ forecasts of non-GAAP earnings.","Can we disentangle the effects of managerial and analyst choices on non-GAAP earnings forecasts, and which has a larger impact?",Not specified in the abstract.,Model development.,"Both managers and analysts contribute to the variation in non-GAAP earnings forecasts, but managerial choices have a larger impact.",Implications for the interpretation of research that uses analysts' forecasts of non-GAAP earnings.,False,,,False
Non-GAAP Earnings Disclosure in Loss Firms,2018,Journal of Accounting Research,"This study examines the incremental information content of non-GAAP earnings disclosures for firms reporting losses. We hypothesize that non-GAAP earnings provide additional value when GAAP earnings are negative, as they may highlight underlying operational performance. Using a sample of loss firms, we compare the market reaction to announcements of non-GAAP earnings with the reaction to GAAP earnings. We find that non-GAAP earnings disclosures are incrementally informative for loss firms, particularly when they signal a potential turnaround or a more favorable underlying performance than GAAP earnings suggest. Our results suggest that investors find value in non-GAAP disclosures even when firms are reporting losses.",Does non-GAAP earnings disclosure provide incremental information for firms reporting losses?,A sample of loss firms.,Comparison of market reaction to announcements of non-GAAP earnings versus GAAP earnings.,"Non-GAAP earnings disclosures are incrementally informative for loss firms, particularly when they signal a potential turnaround or a more favorable underlying performance than GAAP earnings suggest.",Investors find value in non-GAAP disclosures even when firms are reporting losses.,False,,,False
Inference with Dependent Data in Accounting an...,2018,Journal of Accounting Research,"We review developments in conducting inference with dependent data in accounting and finance. We discuss the challenges posed by dependence, such as serial correlation and clustering, and survey various statistical methods that can be used to address these challenges. We also provide examples of how these methods have been applied in accounting and finance research. Our review highlights the importance of accounting for data dependence when conducting empirical research in these fields.",What are the challenges and methods for conducting inference with dependent data in accounting and finance?,Not specified in the abstract.,Review of statistical methods and examples of their application.,"Data dependence, such as serial correlation and clustering, poses challenges for inference. Various statistical methods can address these challenges.",It is important to account for data dependence when conducting empirical research in accounting and finance.,False,,,False
The Role of Tacit Knowledge in Auditor Experti...,2018,Journal of Accounting Research,"Two critical aspects of the model of an auditor are the auditor's expertise and the auditor's effort. In this paper, we examine the role of tacit knowledge in auditor expertise. We define tacit knowledge as knowledge that is difficult to articulate or codify, and we hypothesize that auditors with more tacit knowledge are better able to identify and assess audit risks. We also examine the role of auditor effort in the audit process. We find that both tacit knowledge and effort are important determinants of audit quality. Our results have implications for the training and development of auditors.",What is the role of tacit knowledge in auditor expertise and audit quality?,Not specified in the abstract.,Not specified in the abstract.,Auditors with more tacit knowledge are better able to identify and assess audit risks. Both tacit knowledge and effort are important determinants of audit quality.,Implications for the training and development of auditors.,False,,,False
Mandatory and Voluntary Disclosures: Dynamic I...,2018,Journal of Accounting Research,"Firms sometimes obtain soft private information that is not easily verifiable. This information can be valuable to investors, but firms may be reluctant to disclose it voluntarily due to concerns about litigation or competitive disadvantage. This paper examines the dynamic interaction between mandatory and voluntary disclosures of soft private information. We develop a model in which a firm chooses whether to disclose soft private information, and regulators decide whether to mandate disclosure. We find that the optimal disclosure policy depends on the informativeness of the information, the cost of disclosure, and the potential for litigation. Our results have implications for the design of disclosure regulations.",What is the dynamic interaction between mandatory and voluntary disclosures of soft private information?,Not specified in the abstract.,Model development.,"The optimal disclosure policy depends on the informativeness of the information, the cost of disclosure, and the potential for litigation.",Implications for the design of disclosure regulations.,False,,,False
